"cl010054756",1607,"","Département des Peintures","métal (cuivre)","peinture","animal/plante/nature morte","déplacement/transport","littérature/fantastique","religion/mythologie/magie/zodiaque","animal (mammifère)","divinité/Trinité chrétienne","scène/thème allégorique","divinité/Trinité chrétienne","scène/culte/personnage chrétien"
"cl010054760",1600,1700,"Département des Peintures","huile sur bois","peinture","architecture/jardin","scène de genre/vie quotidienne/travail","architecture rurale/village","scène de genre","","","","",""
"cl010054787",1600,1700,"Département des Peintures","bois","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","","","","","","",""
"cl010054791",1600,1700,"Département des Peintures","toile","peinture","paysage, phénomène naturel, élément du cosmos","scène de genre/vie quotidienne/travail","scène de travail (commerce)","","","","","",""
"cl010054794",1600,1700,"Département des Peintures","toile","peinture","portrait/personnage/nu","scène de genre/vie quotidienne/travail","cavalier","scène de genre","","","","",""
"cl010054802",1600,1700,"Département des Peintures","bois","peinture","paysage, phénomène naturel, élément du cosmos","paysage maritime","","","","","","",""
"cl010054810",1822,"","Département des Peintures","toile","peinture","architecture/jardin","guerre/combat/chasse","portrait/personnage/nu","architecture religieuse","bataille","","cavalier","",""
"cl010054828",1800,1900,"Département des Peintures","toile","peinture","paysage, phénomène naturel, élément du cosmos","paysage (divers)","","","","","","",""
"cl010054837",1700,1800,"Département des Peintures","toile","peinture","portrait/personnage/nu","personnage masculin","costume/coiffure/couronne/bijou","objet/instrument/mobilier/accessoire","","","","",""
"cl010054840",1700,1800,"Département des Peintures","toile","peinture","architecture/jardin","déplacement/transport","paysage, phénomène naturel, élément du cosmos","scène de genre/vie quotidienne/travail","ruine","paysage maritime","paysage (divers)","paysage maritime","scène de travail (commerce)"
"cl010054845",1725,"","Département des Peintures","toile","peinture","littérature/fantastique","portrait/personnage/nu","scène/thème allégorique","personnage masculin","","","","",""
"cl010054851",1750,1800,"Département des Peintures","toile","peinture","déplacement/transport","guerre/combat/chasse","embarcation","bataille","","","","",""
"cl010054852",1600,1700,"Département des Peintures","toile","peinture","animal/plante/nature morte","littérature/fantastique","scène de genre/vie quotidienne/travail","animal (oiseau)","scène/thème allégorique","scène de travail rurale","scène de travail (artiste, artisan)","scène de travail rurale","divertissement"
"cl010054856",1735,1770,"Département des Peintures","toile","peinture","animal/plante/nature morte","littérature/fantastique","paysage, phénomène naturel, élément du cosmos","portrait/personnage/nu","scène/thème allégorique","fleur/plante/fruit","personnage féminin","fleur/plante/fruit","objet/instrument/mobilier/accessoire"
"cl010055042",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055121",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055160",1787,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055171",1785,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055196",1829,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055205",1853,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055222",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055272",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055277",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055278",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055284",1684,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055618",1835,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055623",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055624",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055664",1817,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055669",1819,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055710",1700,1800,"Département des Peintures","toile","peinture","portrait/personnage/nu","portrait","personnage masculin","","","","","",""
"cl010055761",1787,"","Département des Peintures","huile sur toile","peinture","portrait/personnage/nu","personnage masculin","","","","","","",""
"cl010055790",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055812",1795,"","Département des Peintures","toile","peinture","architecture/jardin","architecture/ouvrage lié à l'eau","","","","","","",""
